DATE_ADMINISTERED,CUMULATIVE_RECIPIENTS
44176,0
44177,0
44178,0
44179,0
44180,1
44181,45
44182,128
44183,238
44184,288
44185,290
44186,490
44187,764
44188,1036
44189,1278
44190,1278
44191,1319
44192,1322
44193,1592
44194,1909
44195,2181
44196,2443
44197,2445
44198,2542
44199,2546
44200,3019
44201,3578
44202,3762
44203,3936
44204,4097
44205,4141
44206,4143
44207,4264
44208,4577
44209,5054
44210,5525
44211,6092
44212,6412
44213,6746
44214,7035
44215,7430
44216,7953
44217,8569
44218,9227
44219,10143
44220,10834
44221,11778
44222,12611
44223,13159
44224,13770
44225,14488
44226,15096
44227,15340
44228,16119
44229,16914
44230,18070
44231,18928
44232,20001
44233,20969
44234,21483
44235,22305
44236,22902
44237,23415
44238,23871
44239,24492
44240,24889
44241,25225
44242,25445
44243,25947
44244,26335
44245,26826
44246,27576
44247,28191
44248,28658
44249,29195
44250,29716
44251,30449
44252,31298
44253,32231
44254,33086
44255,33928
44256,34969
44257,35928
44258,37238
44259,38138
44260,38985
44261,39665
44262,40424
44263,41457
44264,42725
44265,44117
44266,45418
44267,46800
44268,48089
44269,49020
44270,50311
44271,51548
44272,52663
44273,53660
44274,54698
44275,55773
44276,56401
44277,57623
44278,58672
44279,59837
44280,61146
44281,62344
44282,63602
44283,64301
44284,65455
44285,66523
44286,67399
44287,68607
44288,70035
44289,71283
44290,71916
44291,73006
44292,73965
44293,75014
44294,76075
44295,78273
44296,80098
44297,81736
44298,83374
44299,84950
44300,86684
44301,88158
44302,89746
44303,90913
44304,91557
44305,92392
44306,93191
44307,93961
44308,94613
44309,95232
44310,95756
44311,95944
44312,96326
44313,96761
44314,97215
44315,97616
44316,98041
44317,98447
44318,98614
44319,98945
44320,99281
44321,99592
44322,99996
44323,100399
44324,100658
44325,100736
44326,100966
44327,101203
44328,101456
44329,101741
44330,102084
44331,102538
44332,102597
44333,102949
44334,103286
44335,103583
44336,103869
44337,104236
44338,104595
44339,104621
44340,104882
44341,105139
44342,105329
44343,105550
44344,105813
44345,106122
44346,106142
44347,106143
44348,106379
44349,106546
44350,106776
44351,107057
44352,107309
44353,107330
44354,107544
44355,107752
44356,107951
44357,108132
44358,108328
44359,108482
44360,108494
44361,108655
44362,108822
44363,108987
44364,109143
44365,109311
44366,109417
44367,109440
44368,109573
44369,109721
44370,109859
44371,109991
44372,110157
44373,110277
44374,110284
44375,110383
44376,110508
44377,110600
44378,110719
44379,110915
44380,111008
44381,111010
44382,111012
44383,111131
44384,111240
44385,111375
44386,111532
44387,111595
44388,111597
44389,111729
44390,111835
44391,111966
44392,112065
44393,112199
44394,112274
44395,112276
44396,112419
44397,112554
44398,112697
44399,112856
44400,113012
44401,113081
44402,113086
44403,113230
44404,113391
44405,113523
44406,113695
44407,113866
44408,113946
44409,113950
44410,114112
44411,114248
44412,114398
44413,114569
44414,114733
44415,114805
44416,114807
44417,114954
44418,115078
44419,115221
44420,115407
44421,115582
44422,115704
44423,115727
44424,115862
44425,115981
44426,116100
44427,116245
44428,116441
44429,116572
44430,116578
44431,116704
44432,116849
44433,116953
44434,117138
44435,117287
44436,117403
44437,117404
44438,117514
44439,117614
44440,117719
44441,117815
44442,117940
44443,118044
44444,118046
44445,118048
44446,118133
44447,118208
44448,118341
44449,118451
44450,118523
44451,118529
44452,118590
44453,118673
44454,118757
44455,118837
44456,118915
44457,118982
44458,118983
44459,119064
44460,119141
44461,119201
44462,119281
44463,119378
44464,119434
44465,119441
44466,119528
44467,119603
44468,119698
44469,119780
44470,119862
44471,119892
44472,119893
44473,119965
44474,120039
44475,120084
44476,120151
44477,120223
44478,120264
44479,120265
44480,120288
44481,120339
44482,120398
44483,120470
44484,120535
44485,120565
44486,120566
44487,120644
44488,120694
44489,120731
44490,120805
44491,120857
44492,120885
44493,120885
44494,120927
44495,120979
44496,121024
44497,121093
44498,121176
44499,121199
44500,121199
44501,121247
44502,121314
44503,121366
44504,121435
44505,121607
44506,121897
44507,121900
44508,122093
44509,122227
44510,122380
44511,122569
44512,122801
44513,123070
44514,123070
44515,123184
44516,123265
44517,123361
44518,123463
44519,123683
44520,123832
44521,123833
44522,124018
44523,124172
44524,124294
44525,124295
44526,124295
44527,124386
44528,124386
44529,124507
44530,124628
44531,124764
44532,124936
44533,125142
44534,125245
44535,125245
44536,125352
44537,125459
44538,125602
44539,125761
44540,125934
44541,126062
44542,126063
44543,126205
44544,126276
44545,126355
44546,126478
44547,126629
44548,126756
44549,126756
44550,126880
44551,127021
44552,127121
44553,127217
44554,127277
44555,127277
44556,127277
44557,127441
44558,127551
44559,127675
44560,127834
44561,127932
44562,127932
44563,127933
44564,128049
44565,128146
44566,128297
44567,128471
44568,128684
44569,128793
44570,128794
44571,128911
44572,129029
44573,129137
44574,129236
44575,129365
44576,129420
44577,129420
44578,129473
44579,129545
44580,129602
44581,129661
44582,129782
44583,129830
44584,129830
44585,129893
44586,129933
44587,129986
44588,130033
44589,130088
44590,130122
44591,130122
44592,130154
44593,130194
44594,130230
44595,130251
44596,130289
44597,130305
44598,130305
44599,130343
44600,130380
44601,130405
44602,130433
44603,130463
44604,130479
44605,130479
44606,130498
44607,130517
44608,130537
44609,130553
44610,130585
44611,130592
44612,130592
44613,130598
44614,130607
44615,130627
44616,130641
44617,130667
44618,130669
44619,130669
44620,130683
44621,130694
44622,130714
44623,130726
,
